,Acute Geriatric Care Unit,Back Home,Rehabilitation,p_value,charmi_postop_3_r,p_value,bi_postop_3_r,p_value
sparc_y,-19.743107925319016,-23.5837,-29.081,0.4229,-0.1792,0.303,-0.2329,0.1653
sparc_z,-3.2605158008505617,-6.2826,-6.9284,0.0002,-0.7112,0.0,-0.6923,0.0
s2s_n,8.25,56.8636,20.0,0.0129,0.4867,0.003,0.5777,0.0002
s2s_duration,3.1542298014501484,2.9582,3.2664,0.398,-0.2018,0.3558,-0.1833,0.3914
s2s_max_accel,10.94799499932384,10.9008,11.4978,0.3146,0.3239,0.1317,0.1749,0.4136
s2s_min_accel,8.580717990700348,8.5932,8.9092,0.6404,-0.149,0.4975,-0.0787,0.7146
s2s_SPARC,-2.4269750482166907,-2.3931,-2.4254,0.0841,0.2292,0.2928,0.3512,0.0924
s2s_displacement,0.6097204583643432,0.4694,0.4598,0.0361,-0.2357,0.279,-0.3613,0.0828
wb_all__count,16.53846153846154,117.0476,126.0,0.0013,0.8109,0.0,0.7193,0.0
total_walking_duration_h,0.04107264957264952,0.7037,0.3555,0.0012,0.8372,0.0,0.7604,0.0
wb_all__duration_s__avg,6.032307692307693,7.5321,6.765,0.0199,0.6285,0.0002,0.593,0.0003
wb_all__duration_s__max,9.08523076923077,25.4385,17.345,0.0027,0.7726,0.0,0.7371,0.0
wb_all__duration_s__var,0.42791385263744997,0.8391,0.942,0.0531,0.7291,0.0,0.68,0.0
wb_all__cadence_spm__avg,75.29993002133747,80.0084,92.0273,0.1007,0.4891,0.0052,0.42,0.0149
wb_all__stride_duration_s__avg,1.1431883784150147,1.2433,1.225,0.0903,0.3219,0.0774,0.2927,0.0983
wb_all__cadence_spm__var,0.1505022607811406,0.1307,0.0954,0.2977,-0.4582,0.0109,-0.408,0.0204
wb_all__stride_duration_s__var,0.2073522887072823,0.1823,0.1207,0.3018,-0.201,0.2869,-0.2634,0.1453
wb_10_30__count,8.75,29.8947,28.0,0.4006,0.4402,0.0458,0.3693,0.0907
wb_10_30__walking_speed_mps__avg,0.4649285670204588,0.5247,0.4939,0.5977,0.5524,0.0094,0.4834,0.0227
wb_10_30__stride_length_m__avg,0.6988302757458165,0.7703,0.6351,0.1361,0.3331,0.14,0.3393,0.1224
wb_10__count,3.076923076923077,42.7619,33.0,0.0013,0.7696,0.0,0.7116,0.0
wb_10__walking_speed_mps__max,0.6416192497614926,0.6735,0.5429,0.6655,0.5037,0.0199,0.3513,0.1089
wb_30__count,0.38461538461538464,15.7143,5.0,0.0293,0.7279,0.0,0.7725,0.0
wb_30__walking_speed_mps__avg,0.7453548278142703,0.5879,0.5278,0.3957,0.3855,0.1559,0.1498,0.5941
wb_30__stride_length_m__avg,0.9110840087290485,0.842,0.6729,0.236,0.2667,0.3365,0.2156,0.4403
wb_30__cadence_spm__avg,95.57030987763078,83.3036,94.0946,0.4301,0.0548,0.8462,-0.1315,0.6403
wb_30__stride_duration_s__avg,1.113254517011945,1.2648,1.2697,0.9258,0.3526,0.1974,0.0877,0.756
wb_30__walking_speed_mps__max,0.8612325706545887,0.6681,0.5485,0.4186,0.2941,0.2873,0.0311,0.9125
wb_30__cadence_spm__max,104.10961094206218,89.405,95.261,0.3069,0.2576,0.354,-0.0731,0.7958
wb_30__walking_speed_mps__var,0.2519712931400183,0.1561,0.0412,0.1206,-0.0537,0.8684,-0.5471,0.0656
wb_30__stride_length_m__var,0.10882533027542585,0.0941,0.0365,0.5924,-0.3006,0.3424,-0.2274,0.4772
wb_60__count,0.07692307692307693,7.8571,1.0,0.0759,0.6547,0.0001,0.5515,0.0009
root_mean_square_vector_magnitude,0.3921303437887352,0.6712,0.7528,0.0001,0.8064,0.0,0.749,0.0
detail_power_vector_magnitude,9.589221668758267,60.5528,10.4825,0.1275,0.2226,0.1986,0.2699,0.1062
power_spectral_sum_vector_magnitude,1.7317210882721619,1.7308,1.7317,0.0013,-0.5686,0.0004,-0.5866,0.0001
