,ID,sensor_worn_s,mean_x,mean_y,mean_z,standard_deviation_x,standard_deviation_y,standard_deviation_z,skewness_x,skewness_y,skewness_z,kurtosis_x,kurtosis_y,kurtosis_z,range_x,range_y,range_z,interquartile_range_x,interquartile_range_y,interquartile_range_z,range_count_percentage_x,range_count_percentage_y,range_count_percentage_z,ratio_beyond_r_sigma_x,ratio_beyond_r_sigma_y,ratio_beyond_r_sigma_z,mean_cross_rate_x,mean_cross_rate_y,mean_cross_rate_z,autocorrelation_x,autocorrelation_y,autocorrelation_z,signal_entropy_x,signal_entropy_y,signal_entropy_z,jerk_metric_x,jerk_metric_y,jerk_metric_z,root_mean_square_x,root_mean_square_y,root_mean_square_z,detail_power_x,detail_power_y,detail_power_z,dominant_frequency_x,dominant_frequency_y,dominant_frequency_z,power_spectral_sum_x,power_spectral_sum_y,power_spectral_sum_z,power_range_sum_x,power_range_sum_y,power_range_sum_z,spectral_flatness_x,spectral_flatness_y,spectral_flatness_z,spectral_entropy_x,spectral_entropy_y,spectral_entropy_z,sparc_x,sparc_y,sparc_z,s2s_n,s2s_duration,s2s_max_accel,s2s_min_accel,s2s_SPARC,s2s_displacement,wb_all__count,total_walking_duration_h,wb_all__duration_s__avg,wb_all__duration_s__max,wb_all__duration_s__var,wb_all__cadence_spm__avg,wb_all__stride_duration_s__avg,wb_all__cadence_spm__var,wb_all__stride_duration_s__var,wb_10_30__count,wb_10_30__walking_speed_mps__avg,wb_10_30__stride_length_m__avg,wb_10__count,wb_10__walking_speed_mps__max,wb_30__count,wb_30__walking_speed_mps__avg,wb_30__stride_length_m__avg,wb_30__cadence_spm__avg,wb_30__stride_duration_s__avg,wb_30__walking_speed_mps__max,wb_30__cadence_spm__max,wb_30__walking_speed_mps__var,wb_30__stride_length_m__var,wb_60__count
9,11036,435397.19,-0.011014990671685605,-0.13876515170339532,-0.950335763212838,0.15063086575668422,0.1832491824345693,0.10070194381452693,0.20168967166079718,-1.3199372565602607,7.044521819689135,1.820348682396709,6.628644223143112,68.41357220575003,4.49609375,4.58837890625,5.92626953125,0.18310546875,0.185302734375,0.03759765625,0.9999595771392094,0.9985495542587218,0.9975195522047352,0.0512835877512209,0.04117199286472198,0.031174408819680255,0.003288055212299372,0.003650322134600823,0.010988311614964717,0.9996872263170671,0.9997308268731032,0.9984466239034354,2.797097901773734,1.4654263140568466,-0.9717867573296675,12.937675068444603,20.04278370521461,10.212934922069358,0.1506308657566559,0.18324918243505506,0.10070194381430318,0.3774196303784101,0.8797061524604829,17.58298447333402,1.862645149230957e-06,0.0,0.0,0.9990071601574134,0.9989246691947555,1.0001047294972756,133347914930091.48,326924361313530.8,6192895355150685.0,-25.100785054468567,-25.16925802604523,-28.283442747217254,0.41053403862077764,0.36386988219787475,0.1300579976636219,-30.897288189214883,-11.541184057778954,-2.4046678649535407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11038,214902.79,0.251476355893231,-0.1789256619132488,0.9150192137499776,0.24017227721224094,0.14357628924610663,0.26143590239419245,2.335997484359542,0.3259728405911438,-3.0656418945453754,4.7724786994474915,4.114828958696256,7.881244323468064,5.08544921875,4.951171875,4.953125,0.143310546875,0.15576171875,0.032958984375,0.9550009564789735,0.9987264474323484,0.579634401209961,0.08248268903349278,0.05646343632858373,0.08426982264864966,0.0036689612079954846,0.0069235490148824965,0.0008137632833896666,0.999848334004074,0.9996096754398037,0.999778859465041,-0.6979057761147793,1.8807090550049685,-0.0023315852709886453,2.847962197516787,6.494688772423698,9.825953530846922,0.24017227721284873,0.14357628924619867,0.2614359023941116,0.5319055339286959,0.8415808641225987,0.4846706164969205,0.0,0.0,0.0,0.9999706778774355,0.9997391076876301,1.0000503941508252,188975607141814.47,83275716648756.28,1499366552440099.5,-30.2754622663969,-29.07788610973951,-31.11376314036999,0.2904274051664133,0.2673352388082122,0.1632477723624522,-6.518643799709826,-4.484162241526647,-2.866847515971441,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11041,303062.0,0.4801704024178505,0.23577905028380125,0.4836515889458959,0.3508027813264337,0.39799187340197284,0.4685755626020304,0.205921607265497,0.18430161207203202,-0.4456719063343593,-1.3267024433240207,-0.0550638641994845,-1.1612785830149102,10.369873046875,6.336181640625,9.640380859375,0.682861328125,0.43115234375,0.84326171875,0.9548499976902416,0.9999560485973167,0.9172822722743201,0.0011736542357669388,0.02411278880229128,0.0190119513498888,0.0011391398459721113,0.00446812863374491,0.0005140862265806997,0.9995300890441504,0.9997762050080801,0.999799879972214,0.6007117904120332,0.09363822507686281,0.013155999553922548,9.213318954618682,20.507256418986668,11.264151079530393,0.35080278132674625,0.3979918734022063,0.4685755626013949,15.34681990624661,2.600043379229017,1.5849391632678769,0.0,0.0,0.0,0.9993396106995717,0.9982943692202195,0.9992034922794245,824774753811092.0,460482196773176.5,1029533803722370.5,-28.022458663573055,-26.63501001618848,-28.017600463792494,0.22121866651182456,0.3594094419120153,0.30322347940093547,-4.4754969012625665,-18.444054798739398,-9.522615933799907,242.0,2.6142231432859564,11.072027513811026,8.333613036930931,-2.3585075289735893,0.4971168261961678,506,2.9390333333333336,9.4,43.795,1.5900896523462045,74.63669476110037,1.340261450612094,0.10626783944235055,0.17538425686930925,147.0,0.4501886535249021,0.732597938918989,229,0.5704139193053922,82,0.4942935711288111,0.7915565734169822,74.65319672111667,1.4610724628068503,0.5952096638617866,80.0559789790011,0.13492750930646785,0.08996779116909819,32
12,11047,288695.0,0.31638242015998175,-0.10987905476651938,0.8745989895498223,0.2800011968562896,0.17303443752567435,0.31261959450838017,1.7757845952913638,0.770377704910594,-2.253530720090538,1.6499767137936079,3.0587008523666768,3.7159134302373547,3.739990234375,3.3994140625,4.876953125,0.128662109375,0.1845703125,0.033203125,0.9401034655951783,0.9999801520635966,0.44885751398534784,0.12969777793172726,0.044877465837648726,0.10007031642390758,0.0013236807010859211,0.0038656713832937875,0.00020575347685273385,0.9999118622084843,0.9997701609062122,0.9998902711763101,-0.8710703726261464,2.3836036046260975,-0.4068949340608883,8.768335488697897,15.16735892766509,13.458399895123774,0.2800011968562582,0.17303443752567518,0.31261959450834487,6.477020427213605,0.5781967290306105,1.125253947126906,0.0,0.0,0.0,0.9998579885511225,0.9985195529528584,1.0000174347465043,387502021280301.8,86392612579532.92,1990025224598145.8,-29.681595185084937,-26.096487088878646,-30.616301655968947,0.25786083631768114,0.3966294604685751,0.16199783304767265,-6.570778754019013,-15.004485469222617,-3.3599717317430926,10.0,2.8861000537872314,10.8810723371973,8.819637890384534,-2.424412734816838,0.3634950494041969,8,0.01471111111111111,6.355,8.535,0.21639881356991347,70.82096516456114,1.1351681547619048,0.13643619904863963,0.19808498096869193,,,,0,,0,,,,,,,,,0
13,11048,326224.0,-0.07029246947350115,-0.4647771634554593,-0.5987677045958069,0.3332931046125235,0.44154019166564695,0.4151321661269492,1.402972311074674,0.9238301647964308,1.1271504129827654,3.1709861453448305,0.0294063139036016,-0.20632865299977876,11.319580078125,10.626220703125,8.84423828125,0.287841796875,0.605712890625,0.510009765625,0.9675390835744765,0.9641461695031635,0.9988439845014468,0.05264876281328167,0.07092556035116974,0.04810458457992055,0.0028435369562018736,0.003097656824758448,0.0015649063220363922,0.9991550535017477,0.9993918044705198,0.9992074379676531,0.9491189153175448,1.012998644719573,-0.4126978489991613,25.147520919356094,25.334253629152325,47.33458543483288,0.33329310461001443,0.44154019166509867,0.4151321661262887,4.288718471993532,4.053399716071718,2.8076540448118577,7.450580596923828e-07,0.0,0.0,0.9973444621756762,0.9985382575137812,0.9989704063666671,256019738967654.62,1013726138187405.8,1352147859881880.2,-24.75736966700543,-26.42603781121199,-27.502323299317005,0.4687343242210085,0.2900138120144663,0.23432706125673888,-92.91456198689447,-8.66527994791519,-5.572210624575889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,11049,108559.0,0.3359134686364025,-0.05205074002727635,0.9486750512637065,0.13027321105016013,0.15971916489310226,0.14642306957515705,2.2679172931556293,0.0608996980184701,-6.20037750149407,10.984220948543545,0.6385192119696557,40.43032116812216,2.900634765625,3.00048828125,2.33935546875,0.09228515625,0.205322265625,0.03466796875,0.992530605477206,0.9999990788419201,0.8076795106808279,0.0331011707919196,0.03421669322672464,0.022671819010860454,0.009878038670216195,0.003059626562514393,0.009973562763105777,0.9997683661886317,0.9998772387519512,0.9997346854746272,0.11208761809997814,0.7968764708708322,-0.9942743005709394,2.805913989867341,2.4292148223623964,5.599458979931964,0.13027321105014208,0.1597191648931019,0.14642306957514992,3.4898168428508707,0.1003055452902752,0.6680391258843905,0.0,7.450580596923828e-06,0.0,0.9999622418198161,0.999537346142109,1.0000174400554267,53931492553338.22,10436944910762.32,388668848078028.94,-33.004398625811014,-30.125165881564975,-33.891518290742304,0.18879741099854427,0.3495244582683552,0.14163809473351907,-3.6868299439589753,-12.084392588982336,-2.1960270163646483,2,,,,,,2,0.003330555555555556,5.995,6.503,0.1497957651554487,93.26326260030822,0.9254464285714286,0.06738679469447234,0.3947245379590318,,,,0,,0,,,,,,,,,0
15,11052,282854.0,-0.3827605017859672,-0.2745362772405469,-0.5709688429749618,0.31532792428830875,0.5175747167853515,0.3054534680568336,0.5389489510102436,0.1707953337016673,1.545448650268917,1.1676236756839193,-1.1961318163858383,2.4148305582150753,6.5537109375,7.33544921875,6.417724609375,0.560791015625,0.96435546875,0.2236328125,0.9980146648094069,0.9386229998515135,0.9998014169854412,0.009476302261944325,0.014380528470518359,0.06855996379757755,0.001345888691692534,0.0009162677565104258,0.0033574918509195555,0.9998721873410026,0.9998685305435472,0.999638252536431,0.6946298129292106,0.9566878795214877,0.465907221730673,4.7983533202418736,19.585508727940013,21.25192137029416,0.31532792428804857,0.5175747167852656,0.3054534680556319,2.7786954753888145,4.181064254233203,3.5899898482666237,0.0,0.0,0.0,0.9998418045941551,0.9995523891007659,0.99978475759544,525393323718278.6,681497469991547.8,926177046073361.6,-29.528947044742516,-28.616059989486878,-29.496038898205306,0.27966331100355896,0.3696294770173523,0.184864620132623,-6.986521729774642,-20.344958781676425,-3.3476243040469504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,11053,282449.0,-0.05516094210640406,-0.13973148350039521,-0.9384220554598462,0.24680509491880445,0.1377081159511647,0.17878226277085082,0.978121652417914,-0.11556072670743237,4.360651663740312,8.461915215452812,7.200890990491915,21.175222935861342,7.0458984375,7.592041015625,7.75244140625,0.091796875,0.1220703125,0.018798828125,0.993178945579556,0.99969626375027,0.8829814940042273,0.07009187499336163,0.05869456078796526,0.04038654765993153,0.007963101303244126,0.006552368746216131,0.004143048833594737,0.9991488082578538,0.9954631508502682,0.9948435042853199,-0.5954715009073472,2.167261842795985,-0.2034587219406585,17.067242947204527,40.28284092301867,56.341724120187365,0.2468050949191941,0.1377081159514914,0.17878226277113843,1.5788825664493318,1.2981480531787017,2.3898415646481075,7.450580596923828e-07,0.0,0.0,0.9978830400562816,0.9929632736198665,0.9997515543253458,122131352846643.77,80102485631337.97,2079975388647242.0,-25.301078479479916,-21.61645283202012,-29.409433967417083,0.5154652401802233,0.3158494244633506,0.13262690077562145,-93.56759117360981,-7.018404085086473,-2.422212400165394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,11057,435411.19,0.010256778198503723,-0.12487531720043113,-0.9509827221162017,0.14329802718200346,0.20615975182947938,0.09658900376964093,0.5614314785639137,1.6004299683014755,5.90878510185456,19.106089003771807,4.231776466173279,47.62659619738311,4.929443359375,4.644287109375,5.16162109375,0.0888671875,0.228515625,0.037841796875,0.9989074006113623,0.9999971061836973,0.9948346757004568,0.0467728677345201,0.05163411165431922,0.044448788741511217,0.0066580971426113324,0.0035812354753675486,0.015072396279020758,0.9996767661271074,0.9997936139753142,0.9984357377584907,-0.03497829041047762,1.198789425292492,-0.9992315574951893,5.637205081806761,10.87237478092672,18.631953893233277,0.1432980271821481,0.20615975182976926,0.09658900376925947,0.42660130202180746,0.6837958190722102,3.0523051795961735,1.1175870895385742e-05,3.725290298461914e-07,0.0,0.9981628731465765,0.9987825270275612,1.000088077246437,120606087079080.67,354119311185843.1,6196695927084794.0,-24.138498941811537,-24.97587549278517,-28.18476904978006,0.5425579998241312,0.3072082312043256,0.1276489866032625,-177.72494968307538,-10.925092760249928,-2.360143802633372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,11058,286738.0,0.3213789928552208,0.13081511479038574,-0.5803074907484413,0.3453733382449843,0.5184772209476203,0.38375684360031753,0.9139380178736108,0.35891495739150586,0.3111561402901829,0.8108431533108829,-1.190034926717731,-1.3941600693460596,10.905517578125,11.093017578125,12.2724609375,0.1708984375,1.06201171875,0.723876953125,0.8752009499961637,0.9981047855533624,0.9966014968368336,0.10963939205825528,0.013034058966722235,0.0031528782372758405,0.001845412885630785,0.0014730869295314886,0.0012693120549072672,0.9985992787687843,0.9987906444579964,0.9969873284837819,-0.46443912561042633,-0.6686422688591926,-0.7411206530011156,26.396937876111025,78.06566652149036,65.09640170547962,0.34537333824432276,0.518477220947744,0.383756843600021,5.102676141776451,4.5043461735944135,1.3026459678191398,0.0,1.1175870895385742e-05,0.0,0.9980009966335613,0.9949442579640542,0.9977966037454646,469404092501758.06,553901876178985.56,1067219543030398.2,-25.530642582934576,-22.998971538241882,-25.674935747444742,0.3604742848901361,0.4090763483514398,0.25654680589269874,-11.061302204805079,-37.78497674061777,-4.080381245858893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
